NAMESPACE            NAME                                               READY   STATUS                   RESTARTS        AGE
core-ops             pod/core-lite-29335700-qvgvv                       0/1     Pending                  0               70m
core-ops             pod/core-lite-29335702-hjcxc                       0/1     Pending                  0               70m
core-ops             pod/core-lite-29335704-wthr9                       0/1     Pending                  0               75m
core-ops             pod/core-lite-29335706-62v6g                       0/1     Pending                  0               75m
core-ops             pod/core-lite-29335708-jj2g9                       0/1     Pending                  0               75m
core-ops             pod/core-lite-29335710-pwmh9                       0/1     Pending                  0               75m
core-ops             pod/core-lite-29335712-5ddhd                       0/1     Pending                  0               75m
core-ops             pod/core-lite-29335714-xb86k                       0/1     Pending                  0               75m
core-ops             pod/core-lite-29335716-798zp                       0/1     Pending                  0               75m
core-ops             pod/core-lite-29335718-29g4w                       0/1     Pending                  0               75m
core-ops             pod/core-lite-29335720-fr4vn                       0/1     Pending                  0               75m
core-ops             pod/core-lite-29335722-zhrnt                       0/1     Pending                  0               75m
core-ops             pod/core-lite-29335724-rzk48                       0/1     Pending                  0               87m
core-ops             pod/core-lite-29335726-5fzjb                       0/1     Pending                  0               87m
core-ops             pod/core-lite-29335728-8kmv9                       0/1     Pending                  0               75m
core-ops             pod/core-lite-29335730-vkh85                       0/1     Pending                  0               87m
core-ops             pod/core-lite-29335732-tjrmx                       0/1     Pending                  0               87m
core-ops             pod/core-lite-29335734-t7rbw                       0/1     Pending                  0               87m
core-ops             pod/core-lite-29335736-zqscc                       0/1     Pending                  0               75m
core-ops             pod/core-lite-29335738-fw9gt                       0/1     Pending                  0               150m
core-ops             pod/core-lite-29335740-c6zh2                       0/1     Pending                  0               163m
core-ops             pod/core-lite-29335742-hppd4                       0/1     Pending                  0               3h26m
core-ops             pod/core-lite-29335744-m7s62                       0/1     Pending                  0               4h52m
core-ops             pod/core-lite-29335746-kdv9b                       0/1     Pending                  0               4h50m
core-ops             pod/core-lite-29335748-2zvmd                       0/1     Pending                  0               4h48m
core-ops             pod/core-lite-29335750-hzzwv                       0/1     Pending                  0               4h46m
core-ops             pod/core-lite-29335752-l2wx2                       0/1     Pending                  0               3h26m
core-ops             pod/core-lite-29335754-29lk2                       0/1     Pending                  0               4h42m
core-ops             pod/core-lite-29335756-6czqs                       0/1     Pending                  0               4h40m
core-ops             pod/core-lite-29335758-tf2hx                       0/1     Pending                  0               4h9m
core-ops             pod/core-lite-29335760-pkd4x                       0/1     Pending                  0               3h26m
core-ops             pod/core-lite-29335762-hcr68                       0/1     Pending                  0               3h26m
core-ops             pod/core-lite-29335764-ftmjl                       0/1     Pending                  0               3h26m
