NAME                                   READY   STATUS                       RESTARTS   AGE     IP             NODE     NOMINATED NODE   READINESS GATES
pod/cloudflared-doh-7684976f59-tzdj7   0/1     Pending                      0          5m      <none>         <none>   <none>           <none>
pod/theta-dns-health-29362095-ps2qj    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362100-2tq47    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362105-2f8jn    0/1     Pending                      0          4m50s   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362110-g47qg    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362115-qmxff    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362120-vqp4n    0/1     Pending                      0          4m42s   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362125-v8jn7    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362130-5fjlq    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362135-h9x22    0/1     Pending                      0          4h17m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362140-j6q95    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362145-rvzg8    0/1     Pending                      0          4m41s   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362150-54mcj    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362155-7prhc    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362160-nk7lg    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362165-h2r6p    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362170-tm5d2    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362175-jxlll    0/1     Pending                      0          4m50s   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362180-t4bzh    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362185-qsndk    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
