NAMESPACE            NAME                                                READY   STATUS                       RESTARTS           AGE     IP              NODE     NOMINATED NODE   READINESS GATES
arc-chi              chi-bus-7b74bf8d95-79prd                            0/1     Pending                      0                  4m35s   <none>          <none>   <none>           <none>
arc-chi              chi-observer-nhrpc                                  1/1     Running                      0                  16d     10.244.0.108    sage     <none>           <none>
arc-epsilon          epsilon-ui-6c476769fc-57cl8                         0/1     Pending                      0                  4m39s   <none>          <none>   <none>           <none>
arc-lambda-locked    lambda-agent-bjjjs                                  1/1     Running                      0                  9d      10.244.0.175    sage     <none>           <none>
arc-lambda           lambda-cell-5bbc86cc85-24h8j                        0/1     Pending                      0                  4m40s   <none>          <none>   <none>           <none>
arc-lambda           lambda-cell-7fdfbdb4f6-d7qm6                        0/1     Pending                      0                  4m40s   <none>          <none>   <none>           <none>
arc-lambda           lambda-worker-749d88d566-flh6k                      0/2     Pending                      0                  4m36s   <none>          <none>   <none>           <none>
arc-omega            omega-agent-78944fffdc-2ph2l                        0/1     Pending                      0                  4m40s   <none>          <none>   <none>           <none>
arc-omega            omega-reason-stream-595f4f9c66-57cg2                0/1     Pending                      0                  4m39s   <none>          <none>   <none>           <none>
arc-omega            rho2-miss                                           0/1     Pending                      0                  4h14m   <none>          <none>   <none>           <none>
arc-omega            rho2-ok                                             0/1     Pending                      0                  4h14m   <none>          <none>   <none>           <none>
arc-phi              phi-cortical-navigator-8467f4bcfb-744sp             0/2     Pending                      0                  4m39s   <none>          <none>   <none>           <none>
arc-psi              psi-orchestrator-74dd4b4899-8tn4t                   0/1     Pending                      901                5d11h   10.244.0.109    sage     <none>           <none>
arc-rho2             rho2-gate-64d8c66cd5-ddn7f                          0/1     Pending                      0                  4m38s   <none>          <none>   <none>           <none>
arc-rho2             rho2-rotate-29363040-fhzwj                          0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-rho2             rho2-rotate-29364480-l6w7h                          0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-rho2             rho2-rotate-29365920-z55m2                          0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-rho2             rho2-rotate-29367360-mbnmc                          0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-rho2             rho2-rotate-29368800-bbrww                          0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-rho2             rho2-rotate-29370240-s4mz9                          0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-sigma            sigma-agent-565bcf865-26rjs                         0/1     Pending                      0                  4m37s   <none>          <none>   <none>           <none>
arc-theta            cloudflared-doh-7684976f59-tzdj7                    0/1     Pending                      0                  4m38s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362095-ps2qj                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362100-2tq47                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362105-2f8jn                     0/1     Pending                      0                  4m28s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362110-g47qg                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362115-qmxff                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362120-vqp4n                     0/1     Pending                      0                  4m20s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362125-v8jn7                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362130-5fjlq                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362135-h9x22                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362140-j6q95                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362145-rvzg8                     0/1     Pending                      0                  4m19s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362150-54mcj                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362155-7prhc                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362160-nk7lg                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362165-h2r6p                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362170-tm5d2                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362175-jxlll                     0/1     Pending                      0                  4m28s   <none>          <none>   <none>           <none>
